,acc_phone_accelerometerAccelerationX(G),acc_phone_accelerometerAccelerationY(G),acc_phone_accelerometerAccelerationZ(G),gyr_phone_gyroRotationX(rad/s),gyr_phone_gyroRotationY(rad/s),gyr_phone_gyroRotationZ(rad/s),mag_phone_motionMagneticFieldX,mag_phone_motionMagneticFieldY,mag_phone_motionMagneticFieldZ,press_phone_altimeterPressure(kPa)
2017-06-07 09:18:10.601,-0.011019897400000001,-0.00090332039999999991,-0.99120788560000006,-0.0108843396,-0.0049077266,0.0038848062,3.288244629,15.663412474,-35.081799316,100.5535
2017-06-07 09:18:10.851,-0.011421203750000001,0.00023269650000000007,-0.99055862449999998,-0.0120053305,-0.0045359625,0.00405086775,3.31446838375,15.704849245,-35.16394043,100.5535
2017-06-07 09:18:11.101,-0.011959075999999999,0.00053405925000000012,-0.99080657949999995,-0.010940399,-0.00373548275,0.00298067675,3.50200653075,15.7621192925,-35.1450958275,100.5535
2017-06-07 09:18:11.351,-0.011639404399999999,-0.0004241944,-0.99152526860000001,-0.010669955,-0.0046950464,0.0040972732,3.4530883788,15.544418338,-35.27839966,100.5521
2017-06-07 09:18:11.601,-0.011646271000000001,-0.00057220025000000001,-0.99142074599999996,-0.01094073175,-0.00506606475,0.002978679,3.38936615,15.611557005,-35.25881958,100.5521
2017-06-07 09:18:11.851,-0.011005401999999999,-0.00070571874999999997,-0.99171829249999999,-0.0109378025,-0.00373668125,0.003780224,3.426864624,15.70556259,-35.37046051,100.5521
2017-06-07 09:18:12.101,-0.010505676,-0.00077438349999999997,-0.99144363399999991,-0.01120338625,-0.004802079,0.00431298925,3.44575500475,15.9118919375,-35.3122100825,100.551925
2017-06-07 09:18:12.351,-0.0120925905,-0.00048446649999999997,-0.99198913575000003,-0.01120145525,-0.00400452875,0.0048472195,3.5582351685,15.7436866775,-35.1641693125,100.5514
2017-06-07 09:18:12.601,-0.011145019600000002,-0.00067443859999999985,-0.99122009300000014,-0.0117388412,-0.0046952594,0.003889387,3.4831481932,15.75461731,-35.351373292,100.5514
2017-06-07 09:18:12.851,-0.01185607925,-0.00025558450000000001,-0.99147796649999997,-0.010937869,-0.0040027975,0.0037798245,3.37059021,15.8553657525,-35.57508087,100.5514
2017-06-07 09:18:13.101,-0.011100769,-0.0011672972500000002,-0.99105834975000007,-0.01120445125,-0.0056000285,0.004045275,3.46440124525,15.8933410625,-35.499946595,100.55105
2017-06-07 09:18:13.351,-0.011421203500000001,-0.00024414199999999998,-0.99185562149999995,-0.0104039715,-0.0048008805,0.00377596325,3.38919830325,15.611732485,-35.6150817875,100.5507
2017-06-07 09:18:13.601,-0.011951446750000001,-0.000320439,-0.99206161500000001,-0.01013399375,-0.00347136375,0.00457617625,3.31437683075,15.967575075,-35.630081175,100.5507
2017-06-07 09:18:13.851,-0.011502075,-0.0004119956,-0.99177551259999996,-0.0113136944,-0.0049069808,0.003247299,3.4079040528,15.63439026,-35.727386476,100.5507
2017-06-07 09:18:14.101,-0.011180877500000002,-0.00095367424999999993,-0.99088287349999993,-0.01093620475,-0.004269713,0.0043124565,3.4078674315,15.649440765,-35.8209915175,100.5507
